Nombre Completo,Abreviatura
"Cooperativa de Ahorro y Crédito Empleados Ultrajet, Limitada",ULTRAJET
"Cooperativa Hondureña de Ahorro y Credito Emprendedores Turisticos, Limitada ( COOHDETUR)",EMPRENDEDORES TURISTICOS
"Cooperativa Hondureña de Ahorro y Credito Emprendedores Turisticos, Limitada ( COOHDETUR) ",EMPRENDEDORES TURISTICOS
"Cooperativa Hondureña de Ahorro y Credito Emprendedores Turisticos, Limitada ( COOHDETUR) febrero 2023",EMPRENDEDORES TURISTICOS
"Cooperativa Hondureña de Ahorro y Crédito Emprendedores Turisticos, Limitada ( COOHDETUR) febrero 2023",EMPRENDEDORES TURISTICOS
"Cooperativa de Ahorro y Crédito Esfuerzo Langueño, Limitada",ESFUERZO LANGÜEÑO
"Federación de Cooperativas de Ahorro y Crédito de Honduras, Limitada (FACACH)",FACACH
"Federación de Cooperativas de Ahorro y Crédito de Honduras, Limitada (FACACH) ",FACACH
"Cooperativa de Ahorro y Crédito Fe y Esperanza, Limitada",FE Y ESPERANZA
"Cooperativa de Ahorro y Crédito FINACOOP, Limitada",FINACOOP
"Cooperativa de Ahorro y Crédito Fraternidad Honduras, Limitada",FRATERNIDAD HONDURAS
"Cooperativa de Ahorro y Crédito Fraternidad Honduras, Limitada *",FRATERNIDAD HONDURAS
"Cooperativa de Ahorro y Crédito Fraternidad Honduras, Limitada 052023",FRATERNIDAD HONDURAS
"Cooperativa de Ahorro y Crédito Fraternidad Honduras, Limitada octubre 2023",FRATERNIDAD HONDURAS
"Cooperativa de Ahorro y Crédito Fraternidad Pespirense, Limitada",FRATERNIDAD PESPIRENSE
"Cooperativa de Ahorro y Crédito Fronteriza Intibucá, Limitada (COACFIL)",FRONTERIZA INTIBUCANA
"Cooperativa de Ahorro y Crédito Fronteriza Intibucá, Limitada (COACFIL) ",FRONTERIZA INTIBUCANA
Cooperativa de Ahorro y Crédito Fronteriza Intibucana Limitada,FRONTERIZA INTIBUCANA
"Cooperativa de Ahorro y Crédito Fronteriza Intibucana, Limitada (COACFIL)",FRONTERIZA INTIBUCANA
"Cooperativa de Ahorro y Crédito Guanaja, Limitada",GUANAJA
"Cooperativa de Ahorro y Crédito Guanaja, Limitada ",GUANAJA
"Cooperativa de Ahorro y Crédito Inversiones de Honduras, Limitada (CACIHL)",INVERSIONES HONDURAS
"Cooperativa de Ahorro y Crédito Juticalpa, Limitada (COOPACJUL)",JUTICALPA
"Cooperativa de Ahorro y Crédito Juticalpa, Limitada (COOPACJUL)",JUTICALPA
"Cooperativa de Ahorro y Crédito La Guadalupe, Limitada",LA GUADALUPE
"Cooperativa de Ahorro y Crédito San Antonio María Claret, Limitada",MARIA CLARET
"Cooperativa de Ahorro y Crédito Mas que Vencedores, Limitada",MAS QUE VENCEDORES
"Cooperativa de Ahorro y Crédito Mas que Vencedores, Limitada ",MAS QUE VENCEDORES
"Cooperativa de Ahorro y Crédito Mas que Vencedores, Limitada    ",MAS QUE VENCEDORES
"Cooperativa Mixta Ahorra Mas, Limitada",MX AHORRA MAS
"Cooperativa Mixta Ahorra Mas, Limitada ",MX AHORRA MAS
"Cooperativa Mixta Ahorramas, Limitada",MX AHORRA MAS
"Cooperativa Mixta Empleados Banco de Occidente, Limitada (COMEBOL)",MX EMPLEADOS BANCOCCI
"Cooperativa Mixta Empleados Bancocci, Limitada",MX EMPLEADOS BANCOCCI
"Cooperativa Mixta de Empleados del Grupo Cementos Del Norte, Limitada (COMEGCEN)",MX CEMENTEROS DEL NORTE
"Cooperativa Mixta de Maestros Jubilados y Pensionados 17 de Septiembre, Limitada (COMAJUPEL)",MX JUBILADOS 17 SEPTIEMBRE
"Cooperativa Mixta de Maestros Jubilados y Pensionados 17 de Septiembre, Limitada  (COMAJUPEL)",MX JUBILADOS 17 SEPTIEMBRE
"Cooperativa Mixta COMEGA, Limitada",MX COMEGA
"Cooperativa Mixta COMEGA, Limitada ",MX COMEGA
"Cooperativa Mixta Empleados Grupo Alcón, Limitada (COMEGA)",MX COMEGA
"Cooperativa Mixta Empleados Grupo Alcón, Limitada (COMEGA) ",MX COMEGA
"Cooperativa Mixta de Empleados Souther Apparel, Limitada (COMESA)",MX COMESA
"Cooperativa Mixta de Empleados Embotelladora de Sula, Limitada (COMESULAL)",MX COMESULAL
"Cooperativa Mixta de Trabajadores de la Fabricación de Bebidas y Afines, Limitada (COMITRAFABAL)",MX COMITRAFABAL
"Cooperativa Mixta de Maestros Jubilados y Pensionados del Noroccidente de Honduras, Limitada (COMJUPENOCH)",MX COMJUPENOCH
"Cooperativa Mixta de Maestros Jubilados y Pensionados del Noroccidente de Honduras, Limitada (COMJUPENOCH) ",MX COMJUPENOCH
"Cooperativa Mixta de Maestros Jubilados y Pensionados del Noroccidente de Honduras, Limitada (COMJUPENOCH) Enero 2025",MX COMJUPENOCH
"Cooperativa Mixta de Maestros Jubilados y Pensionados del Noroccidente de Honduras, Limitada (COMJUPENOCH) nov 23",MX COMJUPENOCH
"Cooperativa Mixta de Maestros Jubilados y Pensionados del Noroccidente de Honduras, Limitada (COMJUPENOCH) Oct 2024",MX COMJUPENOCH
Cooperativa Mixta Dinant Limitada,MX EMPLEADOS DINANT
"Cooperativa Mixta Dinant, Limitada",MX EMPLEADOS DINANT
"Cooperativa Mixta El Cortijo, Limitada (COMECOL)",MX EL CORTIJO
"Cooperativa Mixta de Empleados de Bancahsa, Limitada",MX EMPLEADOS BANCAHSA
Cooperativa Mixta Del Personal De Bancahsa Limitada,MX EMPLEADOS BANCAHSA
"Cooperativa Mixta Empleados Solidarios del Valle, Limitada",MX EMPLEADOS DEL VALLE
"Cooperativa Mixta Empleados Solidarios del Valle, Limitada (COMESOLV)",MX EMPLEADOS DEL VALLE
"Cooperativa Mixta Empleados Dinant, Limitada",MX EMPLEADOS DINANT
"Cooperativa de Ahorro y Crédito Empleados La Mundial, Limitada",MX EMPLEADOS LA MUNDIAL
"Cooperativa de Ahorro y Crédito Empleados La Mundial, Limitada ",MX EMPLEADOS LA MUNDIAL
"Cooperativa de Ahorro y Crédito Empleados La Mundial, Limitada *",MX EMPLEADOS LA MUNDIAL
"Cooperativa Mixta Agencia de Empleados Mundial, Limitada",MX EMPLEADOS LA MUNDIAL
"Cooperativa Mixta Empleados del Ministerio Público, Limitada (COMEMP)",MX EMPLEADOS MP
"Cooperativa Mixta Empleados Ministerio Publico, Limitada",MX EMPLEADOS MP
"Cooperativa Mixta Empleados UNICOMER, Limitada",MX EMPLEADOS UNICOMER
"Cooperativa Mixta Empleados UNICOMER, Limitada ",MX EMPLEADOS UNICOMER
"Cooperativa Mixta Empleados UNICOMER, Limitada    ",MX EMPLEADOS UNICOMER
"Cooperativa Mixta de Empleados del Instituto Central Vicente Caceres, Limitada",MX EMPLEADOS VICENTE CACERES
"Cooperativa Mixta Empleados Empresa Nacional de Energia Electrica, Limitada (COMIENEEL)",MX EMPLEADOS ENEE
"Cooperativa Mixta Empleados Empresa Nacional de Energía Eléctrica, Limitada (COMIENEEL)",MX EMPLEADOS ENEE
"Cooperativa Mixta Esfuerzo, Fuente y Trabajo, Limitada",MX ESFUERZO GENTE Y TRABAJO
"Cooperativa Mixta Esfuerzo, Gente y Trabajo, Limitada",MX ESFUERZO GENTE Y TRABAJO
"Cooperativa Mixta Fraternidad de Mujeres, Limitada (COMFRAMUL)",MX FRATERNIDAD MUJERES
"Cooperativa Mixta Fraternidad de Mujeres, Limitada (COMFRAMUL) ",MX FRATERNIDAD MUJERES
"Cooperativa Mixta de Empleados Gildan Hontex, Limitada",MX GILDAN HONTEX
"Cooperativa Mixta de Empleados Gildan Hontex, Limitada ",MX GILDAN HONTEX
"Cooperativa Mixta de Empleados Gildan Hontex, Limitada *",MX GILDAN HONTEX
"Cooperativa Mixta de Empleados Gildan San Antonio, Limitada",MX GILDAN SAN ANTONIO
"Cooperativa Mixta de Empleados Gildan San Antonio, Limitada diciembre 2025 *",MX GILDAN SAN ANTONIO
"Cooperativa Mixta Gildan San Antonio, Limitada",MX GILDAN SAN ANTONIO
"Cooperativa Mixta Gildan San Antonio, Limitada.",MX GILDAN SAN ANTONIO
"Cooperativa Mixta Gildan Empleados San Miguel, Limitada",MX GILDAN SAN MIGUEL
"Cooperativa Mixta Gildan Empleados San Miguel, Limitada (julio 2023)",MX GILDAN SAN MIGUEL
"Cooperativa Mixta Gildan Empleados San Miguel, Limitada *",MX GILDAN SAN MIGUEL
"Cooperativa Mixta Gildan Empleados San Miguel, Limitada 10/2022",MX GILDAN SAN MIGUEL
"Cooperativa Mixta Gildan Empleados San Miguel, Limitada noviembre 2023",MX GILDAN SAN MIGUEL
"Cooperativa Mixta Gildan San Miguel, Limitada",MX GILDAN SAN MIGUEL
"Cooperativa Mixta Gildan San Miguel, Limitada ",MX GILDAN SAN MIGUEL
"Cooperativa Mixta Empleados Gildan Villa Nueva, Limitada (COMTRAGIVIL)",MX GILDAN VILLA NUEVA
"Cooperativa Mixta Gildan Villa Nueva, Limitada (COMTRAGIVIL)",MX GILDAN VILLA NUEVA
"Cooperativa Mixta de Empleados Hosiery Rio Nance, Limitada",MX HOSIERY RIO NANCE
"Cooperativa Mixta de Empleados Hosiery Rio Nance, Limitada ",MX HOSIERY RIO NANCE
"Cooperativa Mixta de Empleados Hosiery Rio Nance, Limitada    ",MX HOSIERY RIO NANCE
"Cooperativa Mixta de Empleados Hosiery Rio Nance, Limitada *",MX HOSIERY RIO NANCE
"Cooperativa de Ahorro y Credito Igualdad, Limitada",MX IGUALDAD
"Cooperativa de Ahorro y Crédito Igualdad, Limitada",MX IGUALDAD
"Cooperativa de Ahorro y Credito Igualdad, Limitada ",MX IGUALDAD
"Cooperativa Mixta Igualdad Limitada, Limitada",MX IGUALDAD
"Cooperativa Mixta Igualdad Limitada, Limitada ",MX IGUALDAD
"Cooperativa Mixta Igualdad Limitada, Limitada **",MX IGUALDAD
"Cooperativa Mixta Igualdad Limitada, Limitada ***",MX IGUALDAD
"Cooperativa Mixta Igualdad, Limitada (COOPMIL)",MX IGUALDAD
"Cooperativa Mixta Igualdad, Limitada (COOPMIL) ",MX IGUALDAD
"Cooperativa Mixta Igualdad, Limitada (COOPMIL) noviembre 2022",MX IGUALDAD
"Cooperativa Mixta La Prosperidad, Limitada (COMIXPROL)",MX LA PROSPERIDAD
"Cooperativa Mixta La Prosperidad, Limitada (COMIXPROL) ",MX LA PROSPERIDAD
"Cooperativa Mixta La Prosperidad, Limitada (COMIXPROL) Mayo 2024",MX LA PROSPERIDAD
"Cooperativa Mixta Lempira Sur, Limitada (COMLESUL)",MX LEMPIRA SUR
"Cooperativa Mixta Medica Hondureña, Limitada (COMMEH)",MX MEDICA HONDUREÑA
"Cooperativa Mixta Mujeres en Accion, Limitada (COMIXMAL)",MX MUJERES EN ACCION
"Cooperativa Mixta Mujeres en Acción, Limitada (COMIXMAL)",MX MUJERES EN ACCION
"Cooperativa Mixta Mujeres en Accion, Limitada (COMIXMAL) febrero 2024",MX MUJERES EN ACCION
"Cooperativa Mixta Mujeres Unidas, Limitada (COMIXMUL)",MX MUJERES UNIDAS
"Cooperativa Mixta Multiparticipativa, Limitada",MX MULTIPARTICIPATIVA
"Cooperativa Mixta Multiparticipativa, Limitada    ",MX MULTIPARTICIPATIVA
"Cooperativa Mixta Porteña, Limitada (COOMPOL)",MX PORTEÑA
"Cooperativa Mixta Productores Integrados, Limitada (COMPROIL)",MX PRODUCTORES INTEGRADOS
"Cooperativa Mixta Regional Gualema, Limitada",MX REGIONAL GUALEMA
"Cooperativa Mixta Regional Gualema, Limitada (COMIRGUAL)",MX REGIONAL GUALEMA
"Cooperativa Mixta Sabanagrande, Limitada (COMISAL)",MX SABANA GRANDE
"Cooperativa Mixta San Isidro, Limitada",MX SAN ISIDRO
"Cooperativa Mixta Textiles Merendon, Limitada (COMIXTEM)",MX TEXTILES MERENDON
"Cooperativa Mixta Textiles Merendon, Limitada (COMIXTEM) *",MX TEXTILES MERENDON
"Cooperativa Mixta Ultrajet, Limitada",ULTRAJET
"Cooperativa Mixta Unidas Para Progresar, Limitada (COOMUPL)",MX UNIDAS PARA PROGRESAR
"Cooperativa Mixta Unidas Para Progresar, Limitada (COOMUPL) ",MX UNIDAS PARA PROGRESAR
"Cooperativa Mixta Usula, Limitada",MX USULA
"Cooperativa de Ahorro y Crédito empleados Zip Buena Vista, Limitada",MX ZIP BUENA VISTA
"Cooperativa de Ahorro y Crédito empleados Zip Buena Vista, Limitada ",MX ZIP BUENA VISTA
"Cooperativa de Ahorro y Crédito Zip Buena Vista, Limitada",MX ZIP BUENA VISTA
"Cooperativa de Ahorro y Crédito Zip Buena Vista, Limitada ",MX ZIP BUENA VISTA
"Cooperativa Mixta de Empleados Zip Buena Vista, Limitada",MX ZIP BUENA VISTA
"Cooperativa Mixta de Empleados Zip Buena Vista, Limitada ",MX ZIP BUENA VISTA
"Cooperativa Mixta Zip Buena Vista, Limitada",MX ZIP BUENA VISTA
"Cooperativa de Ahorro y Crédito Nueva Vida, Limitada",NUEVA VIDA
"Cooperativa de Ahorro y Crédito Ocotepeque, Limitada",OCOTEPEQUE
"Cooperativa de Ahorro y Crédito Ocotepeque, Limitada ",OCOTEPEQUE
"Cooperativa de Ahorro y Crédito Pacura Aguan, Limitada",PACURA AGUAN
"Cooperativa de Ahorro y Crédito Pinalejo, Limitada",PINALEJO
"Cooperativa de Ahorro y Crédito Pinalejo, Limitada ",PINALEJO
Cooperativa de Ahorro y Crédito Porvenir Limitada,EL PORVENIR
"Cooperativa de Ahorro y Crédito Prosperidad, Limitada",PROSPERIDAD
"Cooperativa de Ahorro y Crédito Prosperidad, Limitada  ",PROSPERIDAD
"Cooperativa de Ahorro y Crédito Prosperidad, Limitada   ",PROSPERIDAD
"Cooperativa de Ahorro y Crédito Prosperidad, Limitada    ",PROSPERIDAD
"Cooperativa de Ahorro y Crédito Río Grande, Limitada",RIO GRANDE
"Cooperativa de Ahorro y Crédito Sagrada Familia, Limitada",SAGRADA FAMILIA
"Cooperativa de Ahorro y Crédito San Andrés, Limitada",SAN ANDRES
"Cooperativa de Ahorro y Crédito San Marqueña, Limitada",SAN MARQUEÑA
"Cooperativa de Ahorro y Credito Santos Guardiola, Limitada",SANTOS GUARDIOLA
"Cooperativa de Ahorro y Credito Santos Guardiola, Limitada ",SANTOS GUARDIOLA
"Cooperativa de Ahorro y Credito Santos Guardiola, Limitada *",SANTOS GUARDIOLA
"Cooperativa de Ahorro y Crédito Santos Guardiola, Limitada *",SANTOS GUARDIOLA
Cooperativa de Ahorro y Crédito Solidarios del Valle,MX EMPLEADOS DEL VALLE
"Cooperativa de Ahorro y Crédito Talanga, Limitada",TALANGA
"Cooperativa de Ahorro y Crédito Talanga, Limitada    ",TALANGA
"Cooperativa de Ahorro y Crédito Taulabé, Limitada",TAULABE
"Cooperativa de Ahorro y Crédito Ultrajet, Limitada",ULTRAJET
"Cooperativa de Ahorro y Crédito Ultrajet, Limitada ",ULTRAJET
"Cooperativa de Ahorro y Crédito Vicente Dantoni, Limitada",VICENTE DANTONI
"Cooperativa de Ahorro y Crédito Yuscarán, Limitada",YUSCARAN
"Cooperativa de Ahorro y Crédito Yuscarán, Limitada ",YUSCARAN
"Cooperativa de Ahorro y Crédito Yuscarán, Limitada    ",YUSCARAN
